timestamp,jobid,state,prog,p,n,rep,seconds,ok,note
1765805723,83566,COMPLETED,floyd_row,1,4020,2,48.820180,True,OK
1765805764,83568,COMPLETED,floyd_row,4,4020,1,21.252460,True,OK
1765805784,83567,COMPLETED,floyd_row,1,4020,3,49.048970,True,OK
1765805804,83569,COMPLETED,floyd_row,4,4020,2,21.233750,True,OK
1765805825,83570,COMPLETED,floyd_row,4,4020,3,21.199820,True,OK
1765805835,83571,COMPLETED,floyd_row,9,4020,1,9.796740,True,OK
1765805856,83572,COMPLETED,floyd_row,9,4020,2,9.783030,True,OK
1765805866,83573,COMPLETED,floyd_row,9,4020,3,9.779070,True,OK
1765805876,83574,COMPLETED,floyd_row,16,4020,1,5.604780,True,OK
1765805886,83575,COMPLETED,floyd_row,16,4020,2,5.598610,True,OK
1765805897,83576,COMPLETED,floyd_row,16,4020,3,5.575810,True,OK
1765805907,83577,COMPLETED,floyd_row,25,4020,1,3.680610,True,OK
1765805917,83578,COMPLETED,floyd_row,25,4020,2,3.713280,True,OK
1765805927,83579,COMPLETED,floyd_row,25,4020,3,3.661220,True,OK
1765805938,83580,COMPLETED,floyd_row,36,4020,1,2.663450,True,OK
1765805948,83581,COMPLETED,floyd_row,36,4020,2,2.665880,True,OK
1765805958,83582,COMPLETED,floyd_row,36,4020,3,2.659300,True,OK
1765806129,83583,COMPLETED,floyd_row,1,6000,1,163.830060,True,OK
1765806139,83584,COMPLETED,floyd_row,1,6000,2,162.686090,True,OK
1765806230,83586,COMPLETED,floyd_row,4,6000,1,71.181550,True,OK
1765806310,83585,COMPLETED,floyd_row,1,6000,3,166.111630,True,OK
1765806321,83587,COMPLETED,floyd_row,4,6000,2,70.680460,True,OK
1765806371,83589,COMPLETED,floyd_row,9,6000,1,33.062720,True,OK
1765806401,83588,COMPLETED,floyd_row,4,6000,3,74.419440,True,OK
1765806421,83590,COMPLETED,floyd_row,9,6000,2,32.971030,True,OK
1765806452,83591,COMPLETED,floyd_row,9,6000,3,33.392890,True,OK
1765806462,83592,COMPLETED,floyd_row,16,6000,1,18.777810,True,OK
1765806492,83593,COMPLETED,floyd_row,16,6000,2,18.985610,True,OK
1765806502,83594,COMPLETED,floyd_row,16,6000,3,18.899500,True,OK
1765806523,83595,COMPLETED,floyd_row,25,6000,1,12.470170,True,OK
1765806533,83596,COMPLETED,floyd_row,25,6000,2,12.531370,True,OK
1765806553,83597,COMPLETED,floyd_row,25,6000,3,12.377570,True,OK
1765806563,83598,COMPLETED,floyd_row,36,6000,1,8.710080,True,OK
1765806583,83599,COMPLETED,floyd_row,36,6000,2,8.609700,True,OK
1765806594,83600,COMPLETED,floyd_row,36,6000,3,8.629210,True,OK
1765806604,83601,COMPLETED,floyd_chk,1,60,1,0.001400,True,OK
1765806614,83602,COMPLETED,floyd_chk,1,60,2,0.001400,True,OK
1765806625,83603,COMPLETED,floyd_chk,1,60,3,0.001430,True,OK
1765806635,83604,COMPLETED,floyd_chk,4,60,1,0.001470,True,OK
1765806645,83605,COMPLETED,floyd_chk,4,60,2,0.001460,True,OK
1765806655,83606,COMPLETED,floyd_chk,4,60,3,0.001420,True,OK
1765806665,83607,COMPLETED,floyd_chk,9,60,1,0.004120,True,OK
1765806676,83608,COMPLETED,floyd_chk,9,60,2,0.004010,True,OK
1765806686,83609,COMPLETED,floyd_chk,9,60,3,0.008170,True,OK
1765806696,83610,COMPLETED,floyd_chk,16,60,1,0.003330,True,OK
1765806706,83611,COMPLETED,floyd_chk,16,60,2,0.003550,True,OK
1765806717,83612,COMPLETED,floyd_chk,16,60,3,0.003580,True,OK
1765806727,83613,COMPLETED,floyd_chk,25,60,1,0.012570,True,OK
1765806737,83614,COMPLETED,floyd_chk,25,60,2,0.011450,True,OK
1765806747,83615,COMPLETED,floyd_chk,25,60,3,0.016710,True,OK
1765806757,83616,COMPLETED,floyd_chk,36,60,1,0.013230,True,OK
1765806768,83617,COMPLETED,floyd_chk,36,60,2,0.014400,True,OK
1765806778,83618,COMPLETED,floyd_chk,36,60,3,0.010390,True,OK
1765806788,83619,COMPLETED,floyd_chk,1,480,1,0.204680,True,OK
1765806798,83620,COMPLETED,floyd_chk,1,480,2,0.203000,True,OK
1765806809,83621,COMPLETED,floyd_chk,1,480,3,0.202910,True,OK
1765806819,83622,COMPLETED,floyd_chk,4,480,1,0.115550,True,OK
1765806829,83623,COMPLETED,floyd_chk,4,480,2,0.115700,True,OK
1765806839,83624,COMPLETED,floyd_chk,4,480,3,0.114680,True,OK
1765806850,83625,COMPLETED,floyd_chk,9,480,1,0.064400,True,OK
1765806860,83626,COMPLETED,floyd_chk,9,480,2,0.058920,True,OK
1765806870,83627,COMPLETED,floyd_chk,9,480,3,0.062820,True,OK
1765806880,83628,COMPLETED,floyd_chk,16,480,1,0.040390,True,OK
1765806890,83629,COMPLETED,floyd_chk,16,480,2,0.040240,True,OK
1765806901,83630,COMPLETED,floyd_chk,16,480,3,0.039890,True,OK
1765806911,83631,COMPLETED,floyd_chk,25,480,1,0.056650,True,OK
1765806921,83632,COMPLETED,floyd_chk,25,480,2,0.044120,True,OK
1765806931,83633,COMPLETED,floyd_chk,25,480,3,0.040800,True,OK
1765806941,83634,COMPLETED,floyd_chk,36,480,1,0.044700,True,OK
1765806952,83635,COMPLETED,floyd_chk,36,480,2,0.054130,True,OK
1765806962,83636,COMPLETED,floyd_chk,36,480,3,0.043890,True,OK
1765806972,83637,COMPLETED,floyd_chk,1,1500,1,6.136180,True,OK
1765806982,83638,COMPLETED,floyd_chk,1,1500,2,6.140490,True,OK
1765806993,83639,COMPLETED,floyd_chk,1,1500,3,6.138890,True,OK
1765807003,83640,COMPLETED,floyd_chk,4,1500,1,3.313790,True,OK
1765807013,83641,COMPLETED,floyd_chk,4,1500,2,3.314640,True,OK
1765807023,83642,COMPLETED,floyd_chk,4,1500,3,3.315920,True,OK
1765807033,83643,COMPLETED,floyd_chk,9,1500,1,1.520940,True,OK
1765807044,83644,COMPLETED,floyd_chk,9,1500,2,1.515910,True,OK
1765807054,83645,COMPLETED,floyd_chk,9,1500,3,1.512620,True,OK
1765807064,83646,COMPLETED,floyd_chk,16,1500,1,0.877110,True,OK
1765807074,83647,COMPLETED,floyd_chk,16,1500,2,0.875170,True,OK
1765807085,83648,COMPLETED,floyd_chk,16,1500,3,0.875490,True,OK
1765807095,83649,COMPLETED,floyd_chk,25,1500,1,0.588960,True,OK
1765807105,83650,COMPLETED,floyd_chk,25,1500,2,0.587700,True,OK
1765807115,83651,COMPLETED,floyd_chk,25,1500,3,0.593600,True,OK
1765807125,83652,COMPLETED,floyd_chk,36,1500,1,0.434470,True,OK
1765807136,83653,COMPLETED,floyd_chk,36,1500,2,0.478000,True,OK
1765807146,83654,COMPLETED,floyd_chk,36,1500,3,0.435270,True,OK
1765807206,83655,COMPLETED,floyd_chk,1,3000,1,50.308330,True,OK
1765807216,83656,COMPLETED,floyd_chk,1,3000,2,50.085270,True,OK
1765807257,83658,COMPLETED,floyd_chk,4,3000,1,25.523900,True,OK
1765807277,83657,COMPLETED,floyd_chk,1,3000,3,50.425990,True,OK
1765807297,83659,COMPLETED,floyd_chk,4,3000,2,25.261720,True,OK
1765807318,83660,COMPLETED,floyd_chk,4,3000,3,25.632750,True,OK
1765807328,83661,COMPLETED,floyd_chk,9,3000,1,11.901540,True,OK
